No.,brand_name,reviewer,rating,date,content
177,十四代,nao,4.5,2023年12月31日,十四代 七垂二十貫   口当たり柔らか  含むとフレッシュピリピリ  マスカットフルーティと酸味で甘いけどキレイ  それでいてジューシー旨味  後半の絶妙な苦味でサクサク飲める   十四代でもこのクラスはやはり別格に美味しい  家飲みで最初から最後まで飲めるのも至高なsaketime  残りは年越しでみんなと頂きます  家飲みできる十四代も七垂までが限度…  味わい的にも満点ですがコスパが_:(´ཀ`」 ∠):   以前も家飲みしたときに、嫁が妊娠中にウマーと言って飲んでたのを根にもっていたようで  嫁にそろそろ飲ませろーと言うのでゆっくり飲める今日に開栓  幻舞も負けじとウマーと笑顔でご満悦頂けました‎( ･ㅂ･)و ̑̑   今日は洋食屋さんで今さらなクリスマスディナー  その前にお店の横の公園に寄ったらエビフライ遊具発見‼︎  初めて現物見たのでちょっとテンション上がりました  ハチミツらしいけどどう見てもエビフライね(゜∀゜)   さて毎年恒例、年末昼から飲んだくれ生活へ突入です( ´ω`っ  )3
182,十四代,ともがゆく,4.7,2023年12月29日,十四代 中取り純吟 赤磐雄町  日本酒原価酒蔵にて  飲み比べセットという事で  3本の中ではこれが1番好きです  コクのある口当たりで  雄町由来の味わいかな
185,十四代,BATA77,5,2023年12月28日,酒未来は好きですが十四代は特に美味
186,十四代,しろくまとうさん,4.5,2023年12月28日,しっかり美味しい旨甘酸
188,十四代,ふふ,5,2023年12月26日,酒未来大好き  リッチで華やかな香りと甘み  大極上生も美味しいがやっぱり  酒未来～これ何杯飲んでも飽きません
193-1,十四代,からあげ,5,2023年12月22日,ほんと美味しいですね
193-2,十四代,からあげ,5,2023年12月22日,３年前に居酒屋で飲んだ記憶が蘇ります笑
198,十四代,ふふ,4.5,2023年12月18日,価格も少し昨年よりup  味わいは本丸より若干サッパリめで  酸味と甘みのバランスは相変わらず  心地良く生酒フレッシュ感も◎
201,十四代,不沈艦,4.8,2023年12月15日,後味に少しアル感がありましたが、それでも飲み込むまで楽しめる、いつもの美味しい酒でした
203,十四代,わふ,4.7,2023年12月14日,それはそうとジャパニーズウイスキーしかり、世界で評価されるのは嬉しいけど高級化と国内での流通が少なくなるのはつらいなぁ
213,十四代,DaigoTomoare,3.5,2023年12月2日,メロン系が好きならありかもしれないが、個人的にはそこまで探して買うものでもないなぁ
215,十四代,ふふ,5,2023年11月27日,十四代純米吟醸酒未来  いつ飲んでも美味しい酒未来  十四代はこの辺りからスタンダードでも  良いのかも………………  本丸もコスパ最高だけどね
219,十四代,えなちゃん,4.5,2023年11月17日,十四代 中取り純米吟醸 赤磐雄町   旨いのが当たり前
221,十四代,kasumi_♂,4,2023年11月15日,甘すぎずバランスが良く  もはや説明不要な  とても美味しいお酒でした
222,十四代,楊端和,5,2023年11月14日,GT、超(スーパー)、HEROESなどなど様々展開しているが、   なんといっても初期が好き
226,十四代,amane,5,2023年11月5日,備忘録＠新宿　ニューレバー  希少な日本酒がグラスで550 限定酒660  ありえないぐらい美味しいので(๑˃̶͈̀o˂̶͈́๑)
227,十四代,理系男子,5,2023年11月4日,香り、飲み口、キレと全て綺麗で、隙がなく美味しい
231-1,十四代,超シェルパ糊,4,2023年10月29日,美味しいの確定していると分かってましたがちゃんと美味しかったです
231-2,十四代,超シェルパ糊,4,2023年10月29日,ちょっと神格化され過ぎてて入手難度爆上がりだとかプレ値段転売とかあるんで☆0.5の減点
249-1,十四代,不沈艦,5,2023年10月10日,十四代　純米吟醸　龍の落とし子  　節目の1000レビューとなる今回、どの酒にしようか迷いましたが、過去に「自分史上1番」と評した十四代純米吟醸龍の落とし子が入手できたので選んでみました
249-2,十四代,不沈艦,5,2023年10月10日,やはり甘口好きの私には最高の酒でした
260,十四代,KC500,4.5,2023年9月30日,35年来の親友と久しぶりに飲んだ
265,十四代,不沈艦,4.9,2023年9月21日,十四代　純米吟醸　酒未来  　近くの有名酒屋さんで入手した十四代を酒友の面々といただきました
279,十四代,haya,5,2023年9月8日,高松に出張に来ました=3  アフターファイブに、ぶらり立ち呑み🚶🍶🎶   ・トロ甘がいっぱい  ・沁みる～(*´ω｀*)  ・ほんのり苦いのもご愛嬌   やっぱり美味しい
281,十四代,HM,5,2023年9月6日,十四代を初めて飲んだのがこの雄町でしたが、当時の感動は今でも覚えてます
282-1,十四代,モコモコ,4.7,2023年9月4日,十四代が手頃な価格なら折角なのでとりあえず飲みます（笑）  日本酒の概念を変えてくれた素晴らしい  日本酒ですが何回も飲んだからか感動が薄れて来てます
282-2,十四代,モコモコ,4.7,2023年9月4日,それは仕方ないけど、次に手頃価格で出会えたらまた飲んじゃうと思う
282-3,十四代,モコモコ,4.7,2023年9月4日,ボッタクリ価格では飲みません‼️
288,十四代,ほくと,4.5,2023年9月3日,本当に美味しいお酒でした
289,十四代,succhii,4,2023年9月2日,安いはずの中取り純米や本丸の方が自分には美味しい
299,十四代,Sakenori,4,2023年8月26日,■十四代　純吟　中取り　播州愛山   シンプルにバランスが凄く良く、  しかもそれが高水準の旨いお酒です
300,十四代,本の虫,5,2023年8月26日,やっぱり十四代は美味しいなぁ
303,十四代,ふふ,4.5,2023年8月20日,十四代吟選山田錦50％吟醸酒  夏のこの時期に出るお酒で1度目に飲んだ時は  好みだったが回を重ねるごとに旨みが感じ  取れなくなった吟選  美味しいお酒に出会い過ぎて口がわがままに  なったんでしょうな……多分
305,十四代,とも,5,2023年8月15日,家族4人でいただきましたが、全員が一致して「これまで呑んだどんな酒よりも旨い
309,十四代,ニラおじ,4,2023年8月15日,十四代　吟撰  十四代では初めて吟醸酒を飲んだがなかなかに美味しゅうございましま
317,十四代,Cutie Dog,5,2023年8月11日,備忘録(2023年8月(4月購入))　十四代　中取り純米　無濾過生詰   【評価】  　冷酒　　　：5.0  　ひや(常温)：－  　燗　　　　：－   なかなか購入出来ないので、飲む機会を逸していた十四代
323,十四代,ろーちゃな,4.5,2023年8月6日,十四代　吟撰　生詰   フルーティーな香りと丸い甘みの中から  出現するアル感強めの飲みごたえ ‼  このアル添感は好みが分かれそうですが  個人的には夏が来たな～って感じがします笑   昨年よりはいくぶん、まろやかで旨味を感じた  のですが、これは開栓後少し時間を置くと旨みが  乗ってくるヤツでしょうか?  残りわずかのところをいただけました😋   使っているお米が違うせいか昨年よりだいぶ  お高くなったような気もしますが、今回  さらに美味しくなったような印象で充分  満たされました🤤   追記　飲んだお店が高かっただけのようですｗ
327,十四代,wajoryoshu,4.5,2023年7月29日,十四代* 吟撰 吟醸酒生詰 山田錦50%  日本酒の世界に芳醇旨口というポジションを確立したこの蔵の中でも、おそらく最も辛の強いラベルで夏仕様と思われる”吟撰 ”を今年も首尾よく入手
328,十四代,ふふ,5,2023年7月29日,十四代EXTRA大吟醸  大吟醸用酒米「雪女神」を100％使用  3つの中では比較的さっぱり  甘み控えめ  コスパ△   十四代吟選  夏季限定涼吟醸酒  これ甘くて意外と美味しい
330,十四代,たけ,4.5,2023年7月21日,十四代　純米吟醸　酒未来  ああ、やっぱり旨いよなぁ😋  時々、角打ちで十四代は飲むけど、  これは好きですねー  味が梨汁を搾った様な味でね、  梨好きとしてはたまらんのですよ😋
332,十四代,ふふ,5,2023年7月19日,十四代純米吟醸龍の落とし子  安定の純米吟醸  なみなみとつがれ  1合￥1200-とかありえへん価格設定  水曜、金曜、ランダム十四代な日  角打ちは短時間で2合とか飲むと酔う  あまり酒強くないので1合飲んでサクッと帰ろ   激安の上に、あて他美味い  レバー煮込み、3点盛り刺身  大繁盛
334,十四代,ろーちゃな,4.5,2023年7月17日,逆に言えば物足りなさを  感じてしまうのは、酒未来好きとして  ハードル上げすぎ⁇   もちろん、凄く美味しいんです
342,十四代,haya,5,2023年7月7日,この唯一無二の芳醇な雰囲気が好き❣️  生酒はトロリとしててより贅沢✨  　  すーさんの梅酒に、北海道のお菓子も😋   #おまけが嬉しい❗  #DATE SEVENと同伴🌌🎶
344,十四代,ふふ,5,2023年7月5日,十四代中取り純米吟醸赤磐雄町  十四代中取り純米吟醸播州愛山   最近十四代が飲めれば良く出かける様になる中  十四代も純米吟醸からがふくよかな  甘みたっぷりで美味しいかと思われる
347,十四代,たけのこ大好き,4.5,2023年6月30日,あと、飲んだ最後に来る辛さが強く感じられる
351,十四代,もら,5,2023年6月26日,包み込むという表現があっている、間違いなく美味しい
356,十四代,矢坂,4,2023年6月19日,日本酒が好きなら定価で買うもの
361,十四代,ろーちゃな,4.5,2023年6月17日,旨みたっぷりでジューシーかつスッキリに  フィニッシュする十四代の締め方が本当に  好きです
362,十四代,野原ひろしの年齢で係長になれなかった男w,5,2023年6月14日,山田錦と龍の落とし子(≧∀≦)  結論、どちらも甘いのに綺麗で、後味はスッと消えるような美味しいお酒でした
365,十四代,理系男子,5,2023年6月13日,やっぱり美味しい
376,十四代,カイティー,5,2023年6月4日,店主の◯◯さん、いつも美味しいものを  ありがとうございます😊
377-1,十四代,カイティー,5,2023年6月4日,ついに「入手しました
377-2,十四代,カイティー,5,2023年6月4日,いただいてみたところ、  これまでに飲んだ十四代と、香りの華やかさは  まったく変わらず
392,十四代,最後のロッポンギね,,2023年5月14日,日本酒が大好きです♡
393,十四代,☆Shige☆,5,2023年5月13日,兵庫県産 愛山70% 山田錦30%  精米55% 醸造アルコール   ではいただきますε-(´∀｀; )   うんうん😊やっぱ十四代の中で1番好きですね
394,十四代,sid,5,2023年5月11日,)  価格5800円   2週間寝かせたら、苦味が解けてきて、好みになった
399-1,十四代,不沈艦,5,2023年5月7日,十四代　中取り純米　無濾過  　運良く十四代を入手できたので、しばらく保管しておきたい気持ちを抑えて早速開栓
399-2,十四代,不沈艦,5,2023年5月7日,酒屋さんにしっかりと管理していただいた酒を手に入れたら、出来るだけ早くいただくのは、美味しい酒を飲む秘訣の一つのようです
401,十四代,ふふ,5,2023年5月5日,苦みはほとんどなく柔らかな甘みと少量の酸味で  これまた旨い  4合飲みたい気分になりますな…………
403,十四代,ともがゆく,4.5,2023年5月5日,十四代 純米吟醸 播州山田錦  日本酒原価酒蔵にて  コクのある飲み口で  GWに最適なリッチな日本酒ですね  美味いけどやっぱり本丸が1番好きかな
411-1,十四代,泥酔おじさん,5,2023年4月30日,味は、表現力が乏しいので上手く言えませんが、これまで飲んだもの、これから飲むであろうもののなかでも、一番に思い出す、何かこれを指標とするような綺麗な味だと思いました
411-2,十四代,泥酔おじさん,5,2023年4月30日,親が奇食好き（よく言えば美食家）の家庭で育ったため、幼い頃は、親の友人たちが家に集まり、各地の珍味と呼ばれるものや、珍しいお酒が食卓に並ぶことが多く、よく親の目を盗んでそういったものを食べたり飲んだりしていました
411-3,十四代,泥酔おじさん,5,2023年4月30日,それからというもの、少し自信を取り戻し、何かに取り憑かれたかのように、近所の酒屋や日本酒をたくさん揃えているお店に出向いたり、本屋で日本酒に関する本を買い漁ったり、家でも日本酒ばかり飲むようになったり、嫌いだった和食が好きになったり、興味のなかった食器に興味を持つようになったり、これまでなら気付くことのなかったであろう植物や景色の美しさに気付けるようになったり、大袈裟に思われるかもしれませんが、周りからも驚かれるほどたくさんの変化がありました
411-4,十四代,泥酔おじさん,5,2023年4月30日,そんな中たどりついたこのサイトなのですが、これからも美味しいお酒をたくさん知りたいので、このサイトの皆さんの意見を参考にさせて頂きたく登録しました
421-1,十四代,モコモコ,5,2023年4月16日,かなり、美味しいです
421-2,十四代,モコモコ,5,2023年4月16日,面白みに欠けると言うか楽しみが無いと言うか（笑）  贅沢な悩み言うてますわ（笑）  味は美味しいし好きな味です
426,十四代,モコモコ,4.5,2023年4月16日,十四代って美味しいんですけどね
427,十四代,Kazuki Kamanaka,4.5,2023年4月14日,久々に飲みましたが、やっぱり美味しい酒ですね
429,十四代,不沈艦,4.8,2023年4月12日,知り合いが「本丸が最も十四代らしい味わいの十四代」と言っていたのが良くわかる抜群に美味しい酒でした
433,十四代,wajoryoshu,5,2023年3月30日,最近のこの銘柄の裏書には「鑑評会BY１本目の大吟醸槽垂れ酒」とあるが、ただでさえ購入困難を極める酒なのに蔵出し早々に入手することはほぼ不可能に近いので、生酒ならではのフレッシュ感を味わうには選ばれた飲み屋で饗されるしかないのだろう
434,十四代,ふふ,5,2023年3月29日,十四代 角新 純米吟醸槽垂れ(ふなだれ)生酒 山田錦   本丸玉返しより更にお米の甘み旨み  感じとれるフレッシュ新酒   いつ飲んでも美味しい十四代  3杯頂きました
435,十四代,理系男子,5,2023年3月27日,とにかく美味しい、日本酒の至高がここにあり
440,十四代,eiji,5,2023年3月25日,やはり十四代は、美味しい
444,十四代,totehi,5,2023年3月21日,ってぐらい美味しい   栓を開けた時から香る甘く上品な酒の香り  口に含むと広がる香り、甘みと旨み、そしてガス感  クォリティが高すぎる  こんな美味しいお酒作って頂いてありがとうございます
445,十四代,モコモコ,4.5,2023年3月21日,3日目以降から昨日まで、かなり甘いから普通に甘いに代わり美味しいです
446-1,十四代,キンクマ,4,2023年3月19日,とても美味しいです
446-2,十四代,キンクマ,4,2023年3月19日,令和の今、十四代を飲める機会が少なくても、似た傾向の美味しいお酒は気軽に手に入るように思いました
452,十四代,ogr,5,2023年3月17日,まあ美味しいですよ
457,十四代,不沈艦,3.9,2023年3月14日,十四代　純米大吟醸　播州愛山  　大好きな十四代、しかもこちらも大好きな愛山
458-1,十四代,不沈艦,3.7,2023年3月13日,十四代　純米大吟醸　龍のおとし子  　久々に大好きな十四代の龍のおとし子をいただきました
458-2,十四代,不沈艦,3.7,2023年3月13日,ただ残念ながら感想は今一（価格と期待値からすれば今ニ、三）
458-3,十四代,不沈艦,3.7,2023年3月13日,冷やしが甘かったのが災いしたのか、体調が悪かったのか、口当たりがモワッとしてアル感が強く、口万の後に飲んだこともあり、甘旨味もやや薄めに感じました
462,十四代,wajoryoshu,4.5,2023年3月12日,今回は角新山田錦だったが、まあ普通に最高に旨い
465,十四代,yuki,5,2023年3月10日,十四代　播州山田錦　角新   口当たりも良く、後味も最高に美味しく、今年飲んだ中で一番美味い
466-1,十四代,カイティー,5,2023年3月8日,やっぱり旨い
466-2,十四代,カイティー,5,2023年3月8日,なぜこんなに旨いのか
470-1,十四代,Dalmatian,4.5,2023年3月2日,十四代 角新純米 無濾過 中取り 生酒   大阪で飲んだ山形のお酒
470-2,十四代,Dalmatian,4.5,2023年3月2日,聞いてたとおりめっちゃ美味しい
470-3,十四代,Dalmatian,4.5,2023年3月2日,澄んでるし、旨いし、深いし
471,十四代,kose,5,2023年2月26日,十四代　角新純米吟醸  久しぶりの十四代でしたが、やっぱり美味しいですね〜  いくらでも飲めちゃいそうですが、少しづつ飲みます〜
482-1,十四代,すけひろ,5,2023年2月12日,店で七垂、角新本丸を最近飲んだけどそのどれよりも美味い
482-2,十四代,すけひろ,5,2023年2月12日,こんな美味しい日本酒を飲めて幸せです
502,十四代,たぬきち,5,2023年1月28日,十四代　角新本丸　生酒　秘伝玉返し   2021.12@宅     美味しい
514,十四代,KC500,5,2023年1月19日,以前同じのを飲んだ時と違い、香りは而今より甘いフルーツを想起するもの
515,十四代,dotdash,4.5,2023年1月18日,旨い
518,十四代,たぬきち,5,2023年1月18日,大好き
519,十四代,Takashi Rikukawa,5,2023年1月17日,微発泡感  美味しい一杯でした
520,十四代,naturalvibes,5,2023年1月17日,似たような日本酒ももちろんとても美味しいですが、やはりオリジナルは唯一無二なんだな〜と改めて思いました
521,十四代,スロバンカー,5,2023年1月15日,前回、池田で飲んだ十四代　秘蔵酒に比べてこちらは甘さは控えめで普通ぐらい
526-1,十四代,スロバンカー,5,2023年1月5日,恐らく日本酒日本酒したのが好きな人はそこまで評価は高くない
526-2,十四代,スロバンカー,5,2023年1月5日,自分の中ではコスパを除くと最高クラスのお酒でした^_^
532,十四代,HM,5,2023年1月3日,酸味はほどほどに嫌らしさを全く感じない甘味がとても好きな味わいです
549,十四代,縦の皮,4.4,2022年12月30日,せっかくだし４合だと足りないから一升瓶かな、でも龍月は一昨年飲んだし、消費ポイント考えたら七垂一升もいいかな
552,十四代,不沈艦,4.7,2022年12月28日,やや強目の苦味を感じる後味が少しだけ気になりますが、「十四代らしい」味わいのとても美味しい酒だと思います
553,十四代,haya,5,2022年12月28日,職場の日本酒好きメンバーで忘年会
555-1,十四代,たけ,4.5,2022年12月28日,のガス  こりゃ美味いわけだ😋   しかし、評価するとなると
555-2,十四代,たけ,4.5,2022年12月28日,確かに良いお酒で本当は5.0の評価に  したかったですけど、他の十四代でも  近い味ありますよね
560,十四代,kasumi_♂,4,2022年12月25日,口開けから少し経っているようで  香りは控えめでしたが  甘すぎず円やかな旨味で  とても美味しいお酒でした
563-1,十四代,wajoryoshu,5,2022年12月23日,やはり別格に旨い
563-2,十四代,wajoryoshu,5,2022年12月23日,何か料理と合わせようなんて邪心が起きないほど旨い
563-3,十四代,wajoryoshu,5,2022年12月23日,最近ちょっとバランス酒寄りになってきた自分を忘れるほど、この極上甘旨酒は旨い
565-1,十四代,takanobu,5,2022年12月20日,これだけ美味しい日本酒はないですね
565-2,十四代,takanobu,5,2022年12月20日,十四代大好きです❤️
570,十四代,Tarou Bushimata,5,2022年12月10日,万虹から十四代経ちしていたのも関係するのか　  今年の龍月はここ数年の中でトップではないかと、  味に関してはもはや　旨い
573,十四代,エイサー,4.5,2022年11月26日,旨い酒にはかわりないです✨
579-1,十四代,なり,4.5,2022年11月17日,似た系統のお酒で旨い酒は  沢山あると思います
579-2,十四代,なり,4.5,2022年11月17日,案の定お互い嫁には怒られましたが  旨い日本酒と人に改めて感謝
595,十四代,kasumi_♂,4,2022年10月19日,もう説明不要の  とても美味しいお酒でした
599,十四代,わふ,4.5,2022年10月8日,それでも美味いけど、地元の十四代はコスパよくないし
601,十四代,Hiro,5,2022年10月8日,これまで飲んだ中でも最上位に美味しさが分かりやすく、呑み場を盛り上げてくれるお酒です
614,十四代,KC500,5,2022年9月24日,いやあ、まあ当たり前だけど、美味いわなあ、旨いわなあ…
618,十四代,sid,5,2022年9月19日,こちらもめちゃめちゃ旨い日本酒
621,十四代,たけ,5,2022年9月19日,洋梨の様な甘味、こりゃ好きだわ😋   もちろん他の蔵も頑張っているけど、  この味はなかなか出せないでしょう
626,十四代,ともがゆく,5,2022年9月17日,十四代 本丸  とんでもない飲み会に  誘われちゃったゾ  前々からやべー居酒屋と  聞いていた店についに訪れました  やっぱり本丸は値段に味わいに  とても美味しいお酒ですね  ちなみにこれが開幕のお酒です
627,十四代,tanron,4,2022年9月15日,旨いもんです
634-1,十四代,mshogo,4.5,2022年9月9日,中どり　特別純米　飲んだことのない十四代だ!と思い喜んで飲んだら、以前も飲んでました
634-2,十四代,mshogo,4.5,2022年9月9日,しかしながら、やはり美味しいです
639,十四代,芝田 陽平,4,2022年9月3日,ここまで色んな酒に出会い投稿してきましたが、評価最高峰の酒を最後に、これでラスト投稿(^^)  これからは、ひっそりと投稿内容を楽しみながら  新たな日本酒道を楽しみたいと思います(^.^)  皆様、今までありがとうございました
641,十四代,gigadeth,5,2022年9月3日,2022/5/28 十四代　大吟醸　龍の落とし子  備忘録  龍はあっさりしてて大好き
642,十四代,理系男子,5,2022年8月29日,飲んだ後に山田錦の甘みが際立ち口の中いっぱいに広がる
643,十四代,理系男子,5,2022年8月29日,とにかく美味しい
